"city","country","location","lat","long"
"Dublin","Ireland","Dublin, Ireland",53.3493795,-6.2605593
"Glasgow","Scotland","Glasgow, Scotland",55.861155,-4.2501687
"Rotterdam","Netherlands","Rotterdam, Netherlands",51.9244424,4.47775
"Amsterdam","Netherlands","Amsterdam, Netherlands",52.3730796,4.8924534
"New York","USA","New York, USA",40.7127281,-74.0060152
"Washington","USA","Washington, USA",38.8950368,-77.0365427
"Belfast","Northern Ireland","Belfast, Northern Ireland",54.596391,-5.9301829
"Drammen","Norway","Drammen, Norway",59.6964936,10.1756419500128
"Edinburgh","Scotland","Edinburgh, Scotland",55.9533456,-3.1883749
"Stockholm","Sweden","Stockholm, Sweden",59.3251172,18.0710935
"Gothenburg","Sweden","Gothenburg, Sweden",57.7072326,11.9670171
"Manchester","England","Manchester, England",53.4794892,-2.2451148
"Rio de Janeiro","Brazil","Rio de Janeiro, Brazil",-22.9110137,-43.2093727
"Hamburg","Germany","Hamburg, Germany",53.550341,10.000654
"Northampton","England","Northampton, England",52.23433665,-0.902807276818583
"Offenbach am Main","Germany","Offenbach am Main, Germany",50.1055002,8.7610698
"Loughborough","England","Loughborough, England",52.7723859,-1.2077985
"Sao Paulo","Brazil","Sao Paulo, Brazil",-23.5506507,-46.6333824
"Cologne","Germany","Cologne, Germany",50.938361,6.959974
"Tullamore","Ireland","Tullamore, Ireland",53.2743768,-7.4927486
"London","England","London, England",51.4893335,-0.144055084527687
"Mannheim","Germany","Mannheim, Germany",49.4892913,8.4673098
"Munich","Germany","Munich, Germany",48.1371079,11.5753822
"Milan","Italy","Milan, Italy",45.4641943,9.1896346
"Bologna","Italy","Bologna, Italy",44.4938203,11.3426327
"Buenos Aires","Argentina","Buenos Aires, Argentina",-34.6083696,-58.4440583
"Zurich","Switzerland","Zurich, Switzerland",47.3744489,8.5410422
"Brussels","Belgium","Brussels, Belgium",50.8465573,4.351697
"Paris","France","Paris, France",48.8534951,2.3483915
"New Orleans","USA","New Orleans, USA",29.9759983,-90.0782127
"Santiago","Chile","Santiago, Chile",-33.4377756,-70.6504502
"The Hague","Netherlands","The Hague, Netherlands",52.0799838,4.3113461
"Austin","USA","Austin, USA",30.2711286,-97.7436995
"Dallas","USA","Dallas, USA",32.7762719,-96.7968559
"Oklahoma City","USA","Oklahoma City, USA",35.4729886,-97.5170536
